code,PartyNm,PartyAb,candidateName,first preferences,Gallagher (elected),Gallagher (quota),Seselja,Pocock,exhausted
L,Australian Labor Party,ALP,GALLAGHER Katy,94761,94761,95074,3347.409693754521,13025.21473354232,799.5220641427537
M,Australian Labor Party,ALP,NORTHAM Maddy,471,346,0,75.0,378.0,18.0
N,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,ANGEL Joy,1558,446,0,496.0,903.0,159.0
O,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,HAYDON John,73,20,0,21.0,48.0,4.0
P,United Australia Party,UAPP,SAVOULIDIS James,6027,813,0,3328.0,2096.0,603.0
Q,United Australia Party,UAPP,PAGE Tracey,117,9,0,62.0,42.0,13.0
R,Liberal,LP,SESELJA Zed,69673,0,0,69673.0,0.0,0.0
S,Liberal,LP,LAM Kacey,1072,116,0,699.0,352.0,21.0
T,David Pocock,DAVI,POCOCK David,60215,0,0,0.0,60215.0,0.0
U,David Pocock,DAVI,DOUBE Clare,89,10,0,5.0,82.0,2.0
V,Kim for Canberra,KCBR,RUBENSTEIN Kim,12463,3168,0,1370.0,10731.0,362.0
W,Kim for Canberra,KCBR,HUYNH Kim,150,39,0,29.0,114.0,7.0
X,Australian Progressives,AUP,FAULKNER Therese,675,212,0,107.0,506.0,62.0
Y,Australian Progressives,AUP,LIN Stephen,44,13,0,9.0,32.0,3.0
Z,The Greens,GRN,GORENG GORENG Tjanara,28910,13546,0,3570.0,23355.0,1985.0
a,The Greens,GRN,CRUZ James,469,244,0,31.0,419.0,19.0
b,Legalise Cannabis Australia,HMP,KATELARIS Andrew,4488,1354,0,1211.0,2506.0,771.0
c,Legalise Cannabis Australia,HMP,STANVIC Michelle,62,11,0,11.0,44.0,7.0
d,Animal Justice Party,AJP,del VALLE Yana,1854,582,0,440.0,1117.0,297.0
e,Animal Justice Party,AJP,FAHIZ Jannah,38,8,0,5.0,29.0,4.0
f,Informed Medical Options Party,IMO,SIMMS Michael,1377,169,0,434.0,673.0,270.0
g,Informed Medical Options Party,IMO,LIDDICOAT Mary-Jane,81,9,0,23.0,43.0,15.0
h,Independent,IND,LI Fuxin,550,240,0,190.0,307.0,53.0
