code,PartyNm,PartyAb,btl,candidateName,first,ALP,LP,GRN,exhausted
A,Australian Labor Party,ALP,False,GALLAGHER Katy,0,0,0,0,0
B,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,False,ANGEL Joy,0,0,0,0,0
C,United Australia Party,UAPP,False,SAVOULIDIS James,0,0,0,0,0
D,Liberal,LP,False,SESELJA Zed,0,0,0,0,0
E,David Pocock,DAVI,False,POCOCK David,0,0,0,0,0
F,Kim for Canberra,KCBR,False,RUBENSTEIN Kim,0,0,0,0,0
G,Australian Progressives,AUP,False,FAULKNER Therese,0,0,0,0,0
H,The Greens,GRN,False,GORENG GORENG Tjanara,0,0,0,0,0
I,Legalise Cannabis Australia,HMP,False,KATELARIS Andrew,0,0,0,0,0
J,Animal Justice Party,AJP,False,del VALLE Yana,0,0,0,0,0
K,Informed Medical Options Party,IMO,False,SIMMS Michael,0,0,0,0,0
L,Australian Labor Party,ALP,True,GALLAGHER Katy,916,916,0,0,0
M,Australian Labor Party,ALP,True,NORTHAM Maddy,1,1,0,0,0
N,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,ANGEL Joy,18,4,4,9,1
O,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,True,HAYDON John,1,0,0,1,0
P,United Australia Party,UAPP,True,SAVOULIDIS James,58,10,39,4,5
Q,United Australia Party,UAPP,True,PAGE Tracey,0,0,0,0,0
R,Liberal,LP,True,SESELJA Zed,704,0,704,0,0
S,Liberal,LP,True,LAM Kacey,17,6,10,1,0
T,David Pocock,DAVI,True,POCOCK David,626,307,96,210,13
U,David Pocock,DAVI,True,DOUBE Clare,0,0,0,0,0
V,Kim for Canberra,KCBR,True,RUBENSTEIN Kim,104,40,15,47,2
W,Kim for Canberra,KCBR,True,HUYNH Kim,2,0,0,2,0
X,Australian Progressives,AUP,True,FAULKNER Therese,8,3,0,5,0
Y,Australian Progressives,AUP,True,LIN Stephen,0,0,0,0,0
Z,The Greens,GRN,True,GORENG GORENG Tjanara,303,0,0,303,0
a,The Greens,GRN,True,CRUZ James,7,1,0,6,0
b,Legalise Cannabis Australia,HMP,True,KATELARIS Andrew,41,13,6,19,3
c,Legalise Cannabis Australia,HMP,True,STANVIC Michelle,0,0,0,0,0
d,Animal Justice Party,AJP,True,del VALLE Yana,22,5,5,7,5
e,Animal Justice Party,AJP,True,FAHIZ Jannah,0,0,0,0,0
f,Informed Medical Options Party,IMO,True,SIMMS Michael,14,2,6,4,2
g,Informed Medical Options Party,IMO,True,LIDDICOAT Mary-Jane,1,0,0,1,0
h,Independent,IND,True,LI Fuxin,9,4,3,1,1
