code,PartyNm,PartyAb,btl,candidateName,first,ALP,LP,GRN,exhausted
A,Liberal,LP,False,SESELJA Zed,0,0.0,0.0,0.0,0.0
B,The Greens,GRN,False,KYBURZ Penny,0,0.0,0.0,0.0,0.0
C,Anthony Pesec,Anthony Pesec,False,PESEC Anthony,0,0.0,0.0,0.0,0.0
D,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,False,VAN DUREN Shane,0,0.0,0.0,0.0,0.0
E,United Australia Party,UAPP,False,WALTER Peter,0,0.0,0.0,0.0,0.0
F,Sustainable Australia,SPP,False,HAYDON John,0,0.0,0.0,0.0,0.0
G,Australian Labor Party,ALP,False,GALLAGHER Katy,0,0.0,0.0,0.0,0.0
H,Liberal,LP,True,SESELJA Zed,84846,0.0,0.3139758206867458,0.0,0.0
I,Liberal,LP,True,GUNNING Robert,2650,0.002475659713356351,0.005798742557293575,0.0013358941054135167,0.0001961284974706825
J,The Greens,GRN,True,KYBURZ Penny,45916,0.0,0.0,0.1699138884879973,0.0
K,The Greens,GRN,True,DAVIDSON Emma,1978,0.0006031876431645518,4.8106989945639104e-05,0.006664668376315078,3.7005376881260846e-06
L,Anthony Pesec,Anthony Pesec,True,PESEC Anthony,12359,0.018835736832561772,0.010035858210197942,0.015956718511199678,0.0009066317335908908
M,Anthony Pesec,Anthony Pesec,True,KENT Gary,212,0.0002442354874163216,0.00020352957284693466,0.00032564731655509543,1.1101613064378254e-05
N,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,True,VAN DUREN Shane,2392,0.0018428677686867902,0.005787640944229197,0.00103985109036343,0.00018132634671817814
O,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,FACN,True,BIRKETT Scott,72,5.920860301001735e-05,0.00015912312058942164,4.070591456938693e-05,7.401075376252169e-06
P,United Australia Party,UAPP,True,WALTER Peter,5985,0.006220603853739948,0.010990596933734472,0.004403639848870041,0.0005328774270901562
Q,United Australia Party,UAPP,True,HODGSON Rebecah Elen,160,0.0001480215075250434,0.0003145457034907172,0.00011471666833190863,1.4802150752504338e-05
R,Sustainable Australia,SPP,True,HAYDON John,4169,0.00499942641665834,0.003367489296194737,0.006864497411473887,0.0001961284974706825
S,Sustainable Australia,SPP,True,ANGEL Joy,288,0.00035525161806010413,0.00012951881908441297,0.0005698828039714171,1.1101613064378254e-05
T,Australian Labor Party,ALP,True,GALLAGHER Katy,105019,0.3886267674693133,0.0,0.0,0.0
U,Australian Labor Party,ALP,True,WAITES Nancy,1332,0.004022484466993054,0.00014062043214879122,0.0007512091506895952,1.4802150752504338e-05
V,Independent,IND,True,HOUSTON Nick,1322,0.0018613704571274205,0.0009954446381059167,0.001964985512394951,7.031021607439561e-05
W,Independent,IND,True,COWTON Gary,301,0.0004773693617682649,0.00020352957284693466,0.0004181607587582476,1.4802150752504338e-05
X,Christian Democratic Party (Fred Nile Group),CDP,True,KIM David,1230,0.0008844285074621342,0.003278676391679711,0.00033674892961947373,5.1807527633765185e-05
