code,PartyNm,PartyAb,candidateName,first preferences,Gallagher (elected),Gallagher (quota),Seselja,Pocock,exhausted
L,Australian Labor Party,ALP,GALLAGHER Katy,94761,94761,95074,4133.340607668194,15621.849288642392,1286.810103689414
M,Australian Labor Party,ALP,NORTHAM Maddy,471,346,0,23.0,100.0,2.0
N,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,ANGEL Joy,1558,446,0,348.0,681.0,83.0
O,Sustainable Australia Party - Stop Overdevelopment / Corruption,SPP,HAYDON John,73,20,0,18.0,32.0,3.0
P,United Australia Party,UAPP,SAVOULIDIS James,6027,813,0,2950.0,1799.0,465.0
Q,United Australia Party,UAPP,PAGE Tracey,117,9,0,55.0,41.0,12.0
R,Liberal,LP,SESELJA Zed,69673,0,0,69673.0,0.0,0.0
S,Liberal,LP,LAM Kacey,1072,116,0,662.0,283.0,11.0
T,David Pocock,DAVI,POCOCK David,60215,0,0,0.0,60215.0,0.0
U,David Pocock,DAVI,DOUBE Clare,89,10,0,3.0,74.0,2.0
V,Kim for Canberra,KCBR,RUBENSTEIN Kim,12463,3168,0,838.0,8304.0,153.0
W,Kim for Canberra,KCBR,HUYNH Kim,150,39,0,24.0,86.0,1.0
X,Australian Progressives,AUP,FAULKNER Therese,675,212,0,56.0,381.0,26.0
Y,Australian Progressives,AUP,LIN Stephen,44,13,0,5.0,25.0,1.0
Z,The Greens,GRN,GORENG GORENG Tjanara,28910,13546,0,1151.0,13823.0,390.0
a,The Greens,GRN,CRUZ James,469,244,0,10.0,214.0,1.0
b,Legalise Cannabis Australia,HMP,KATELARIS Andrew,4488,1354,0,840.0,1883.0,411.0
c,Legalise Cannabis Australia,HMP,STANVIC Michelle,62,11,0,9.0,37.0,5.0
d,Animal Justice Party,AJP,del VALLE Yana,1854,582,0,293.0,815.0,164.0
e,Animal Justice Party,AJP,FAHIZ Jannah,38,8,0,4.0,23.0,3.0
f,Informed Medical Options Party,IMO,SIMMS Michael,1377,169,0,374.0,619.0,215.0
g,Informed Medical Options Party,IMO,LIDDICOAT Mary-Jane,81,9,0,22.0,36.0,14.0
h,Independent,IND,LI Fuxin,550,240,0,94.0,192.0,24.0
