code,party,candidate,type
A,Liberals,Liberal,above
B,Greens,The Greens,above
C,Pesec,,above
D,Anning,Fraser Anning's Conservative National Party,above
E,UAP,United Australia Party,above
F,Sustainable,Sustainable Australia,above
G,Labor,Australian Labor Party,above
H,Liberals,SESELJA Zed,below
I,Liberals,GUNNING Robert,below
J,Greens,KYBURZ Penny,below
K,Greens,DAVIDSON Emma,below
L,Pesec,PESEC Anthony,below
M,Pesec,KENT Gary,below
N,Anning,VAN DUREN Shane,below
O,Anning,BIRKETT Scott,below
P,UAP,WALTER Peter,below
Q,UAP,HODGSON Rebecah Elen,below
R,Sustainable,HAYDON John,below
S,Sustainable,ANGEL Joy,below
T,Labor,GALLAGHER Katy,below
U,Labor,WAITES Nancy,below
V,ungrouped,HOUSTON Nick,below
W,ungrouped,COWTON Gary,below
X,ungrouped,KIM David,below
